MR1
ID,Output,MTG1,MTG2,MTG3,MTG4,MTG5
M7,SO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
M8,SO,"[5, 3, 8, 1, 9, 2]","[4, 2, 4, 2, 4]","[-3, 5, -1, 8, 0, -2]","[10, 5, 15, 3, 12, 7, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[2, 9, 1, 8, 3, 5]","[4, 2, 4, 2, 4]","[-2, 0, 8, -1, 5, -3]","[1, 7, 12, 3, 15, 5, 10]","[1, 2, 3, 4, 5, 6]"
M9,SO,"[2, 9, 1, 8, 3, 5]","[4, 2, 4, 2, 4]","[-2, 0, 8, -1, 5, -3]","[1, 7, 12, 3, 15, 5, 10]","[1, 2, 3, 4, 5, 6]"
,FO,"[5, 3, 8, 1, 9, 2]","[4, 2, 4, 2, 4]","[-3, 5, -1, 8, 0, -2]","[10, 5, 15, 3, 12, 7, 1]","[6, 5, 4, 3, 2, 1]"
M10,SO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
M11,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M12,SO,"[5, 3, 8, 1, 9, 2]","[4, 2, 4, 2, 4]","[-3, 5, -1, 8, 0, -2]","[10, 5, 15, 3, 12, 7, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[2, 9, 1, 8, 3, 5]","[4, 2, 4, 2, 4]","[-2, 0, 8, -1, 5, -3]","[1, 7, 12, 3, 15, 5, 10]","[1, 2, 3, 4, 5, 6]"
M13,SO,"[2, 9, 1, 8, 3, 5]","[4, 2, 4, 2, 4]","[-2, 0, 8, -1, 5, -3]","[1, 7, 12, 3, 15, 5, 10]","[1, 2, 3, 4, 5, 6]"
,FO,"[5, 3, 8, 1, 9, 2]","[4, 2, 4, 2, 4]","[-3, 5, -1, 8, 0, -2]","[10, 5, 15, 3, 12, 7, 1]","[6, 5, 4, 3, 2, 1]"
M14,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M15,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M16,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M17,SO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
M18,SO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
M19,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M20,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M21,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M22,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M23,SO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
M24,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M25,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M26,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M27,SO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
,FO,"[9, 8, 5, 3, 2, 1]","[4, 4, 4, 2, 2]","[8, 5, 0, -1, -2, -3]","[15, 12, 10, 7, 5, 3, 1]","[6, 5, 4, 3, 2, 1]"
M28,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M29,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
M30,SO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"
,FO,"[1, 2, 3, 5, 8, 9]","[2, 2, 4, 4, 4]","[-3, -2, -1, 0, 5, 8]","[1, 3, 5, 7, 10, 12, 15]","[1, 2, 3, 4, 5, 6]"

MR2
ID,Output,MTG1,MTG2,MTG3,MTG4,MTG5
M1,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M2,SO,"[8, 2, 5, 1, 7, 3, 9]","[2, 2, 1, 1, 3, 3]","[1, -5, 9, -2, 4, -8]","[6, 14, 2, 8, 16, 4, 12]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[7, 2, 8, 1, 5, 3, 9]","[1, 2, 3, 1, 3, 2]","[-8, -5, 1, 9, 4, -2]","[6, 8, 14, 2, 4, 16, 12]","[3, 0, 1, 6, 5, 2, 7, 4]"
M3,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M4,SO,"[3, 1, 8, 2, 5, 7, 9]","[3, 3, 1, 1, 2, 2]","[-8, -5, -2, 9, 4, 1]","[4, 2, 6, 8, 12, 16, 14]","[6, 5, 4, 3, 2, 1, 0, 7]"
,FO,"[5, 3, 2, 1, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-2, -5, 9, 1, 4, -8]","[6, 2, 14, 4, 12, 16, 8]","[5, 4, 0, 2, 3, 6, 1, 7]"
M5,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M6,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M7,SO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
M8,SO,"[9, 3, 7, 1, 5, 2, 8]","[3, 3, 1, 1, 2, 2]","[-8, 4, -2, 9, -5, 1]","[12, 4, 16, 8, 2, 14, 6]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[3, 7, 8, 2, 5, 9, 1]","[2, 3, 3, 1, 1, 2]","[9, 1, -2, -8, 4, -5]","[4, 6, 16, 8, 2, 12, 14]","[6, 7, 4, 1, 0, 5, 2, 3]"
M9,SO,"[8, 2, 5, 1, 7, 3, 9]","[2, 2, 1, 1, 3, 3]","[1, -5, 9, -2, 4, -8]","[6, 14, 2, 8, 16, 4, 12]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 3, 9, 8, 2, 7, 5]","[1, 2, 3, 3, 1, 2]","[9, 1, -8, 4, -2, -5]","[12, 16, 14, 4, 2, 6, 8]","[6, 3, 4, 1, 5, 0, 2, 7]"
M10,SO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
M11,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M12,SO,"[9, 3, 7, 1, 5, 2, 8]","[3, 3, 1, 1, 2, 2]","[-8, 4, -2, 9, -5, 1]","[12, 4, 16, 8, 2, 14, 6]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[8, 1, 9, 2, 5, 3, 7]","[2, 1, 1, 3, 2, 3]","[-5, -8, -2, 1, 4, 9]","[16, 4, 6, 2, 14, 12, 8]","[0, 5, 3, 7, 6, 2, 4, 1]"
M13,SO,"[8, 2, 5, 1, 7, 3, 9]","[2, 2, 1, 1, 3, 3]","[1, -5, 9, -2, 4, -8]","[6, 14, 2, 8, 16, 4, 12]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[2, 9, 1, 3, 7, 8, 5]","[1, 1, 3, 3, 2, 2]","[1, -8, 4, -2, -5, 9]","[6, 8, 2, 12, 16, 4, 14]","[6, 5, 4, 7, 2, 3, 0, 1]"
M14,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M15,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M16,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M17,SO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
M18,SO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
M19,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M20,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M21,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M22,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M23,SO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
M24,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M25,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M26,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M27,SO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
,FO,"[9, 8, 7, 5, 3, 2, 1]","[3, 3, 2, 2, 1, 1]","[9, 4, 1, -2, -5, -8]","[16, 14, 12, 8, 6, 4, 2]","[7, 6, 5, 4, 3, 2, 1, 0]"
M28,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M29,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
M30,SO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
,FO,"[1, 2, 3, 5, 7, 8, 9]","[1, 1, 2, 2, 3, 3]","[-8, -5, -2, 1, 4, 9]","[2, 4, 6, 8, 12, 14, 16]","[0, 1, 2, 3, 4, 5, 6, 7]"
